a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a1_rms,a1_mav,a1_wl,a1_zc,a2_rms,a2_mav,a2_wl,a2_zc,a3_rms,a3_mav,a3_wl,a3_zc,a4_rms,a4_mav,a4_wl,a4_zc,label,action_name
336.00,605.00,151.00,594.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336.00,336.00,0.00,0.00,605.00,605.00,0.00,0.00,151.00,151.00,0.00,0.00,594.00,594.00,0.00,0.00,28.00,28.00,0.00,0.00,0,휴식 (Relax)
328.00,605.00,145.00,605.00,45.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,335.51,335.50,8.00,1.00,605.00,605.00,0.00,0.00,150.63,150.62,6.00,1.00,594.69,594.69,11.00,1.00,29.35,29.06,17.00,1.00,0,휴식 (Relax)
304.00,583.00,135.00,583.00,28.00,39.51,38.08,35.83,32.98,29.87,26.94,24.80,24.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,21.67,20.68,19.12,17.09,14.78,12.50,10.71,10.00,4.29,8.42,12.22,15.56,18.29,20.33,21.58,22.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,333.59,333.50,32.00,1.00,603.65,603.62,22.00,1.00,149.68,149.62,16.00,1.00,594.01,594.00,33.00,1.00,29.35,29.06,34.00,2.00,0,휴식 (Relax)
344.00,594.00,145.00,583.00,33.00,32.58,33.94,35.25,35.78,35.25,33.94,32.58,32.00,32.44,30.78,28.11,24.60,20.49,16.21,12.56,11.00,27.09,24.49,20.59,16.00,11.41,7.51,4.91,4.00,13.85,19.05,23.11,24.60,23.11,19.05,13.85,11.00,20.84,17.72,13.92,12.00,13.92,17.72,20.84,22.00,334.10,334.00,72.00,2.00,602.97,602.94,33.00,1.00,149.31,149.25,26.00,1.00,593.33,593.31,33.00,1.00,29.68,29.38,39.00,3.00,0,휴식 (Relax)
320.00,572.00,168.00,616.00,31.00,43.62,32.34,20.98,22.63,33.30,42.07,46.69,48.00,61.96,50.49,33.62,15.56,14.29,28.96,40.04,44.00,19.27,29.81,34.76,33.00,26.33,18.59,13.96,13.00,8.47,12.75,26.98,39.66,44.64,39.13,24.40,11.00,22.58,16.50,10.96,12.37,16.90,19.34,19.40,19.00,333.12,333.00,96.00,3.00,600.95,600.88,55.00,1.00,150.44,150.31,49.00,2.00,594.73,594.69,66.00,3.00,29.86,29.56,41.00,3.00,0,휴식 (Relax)
328.00,594.00,135.00,583.00,31.00,48.05,28.30,14.81,28.84,40.48,43.44,41.49,40.00,70.62,53.31,30.18,11.00,17.98,28.08,32.23,33.00,21.37,14.35,25.44,36.67,38.66,34.00,29.89,29.00,3.05,3.49,16.40,34.79,48.49,49.07,35.25,22.00,23.60,13.85,10.71,15.30,16.32,16.38,19.75,22.00,332.62,332.50,104.00,3.00,600.26,600.19,77.00,1.00,149.49,149.31,82.00,3.00,594.05,594.00,99.00,3.00,30.05,29.75,41.00,3.00,0,휴식 (Relax)
336.00,594.00,156.00,594.00,31.00,48.05,28.30,14.81,28.84,40.48,43.44,41.49,40.00,77.05,49.79,19.69,0.00,7.88,20.62,36.84,44.00,21.31,19.04,22.15,32.25,38.22,37.01,34.45,34.00,3.05,3.49,16.40,34.79,48.49,49.07,35.25,22.00,23.82,10.96,13.58,15.00,13.76,18.92,20.56,19.00,332.62,332.50,112.00,4.00,599.58,599.50,77.00,1.00,149.81,149.62,103.00,4.00,594.05,594.00,110.00,3.00,30.23,29.94,41.00,3.00,0,휴식 (Relax)
304.00,561.00,145.00,594.00,33.00,54.23,12.83,46.79,17.89,41.43,74.80,56.01,8.00,99.11,26.62,33.39,44.00,42.87,64.27,52.09,0.00,19.18,17.11,28.01,29.73,32.70,36.98,38.91,40.00,3.05,3.49,16.40,34.79,48.49,49.07,35.25,22.00,23.08,9.76,17.09,10.00,18.15,18.24,17.59,24.00,330.69,330.50,144.00,5.00,596.90,596.75,110.00,1.00,149.44,149.25,114.00,5.00,594.05,594.00,110.00,3.00,30.54,30.25,43.00,3.00,0,휴식 (Relax)
336.00,605.00,140.00,572.00,26.00,54.23,12.83,46.79,17.89,41.43,74.80,56.01,8.00,99.11,26.62,33.39,44.00,42.87,64.27,52.09,0.00,15.70,25.14,32.08,19.72,41.47,44.92,34.99,29.00,24.46,20.92,35.78,15.56,54.70,69.90,30.61,0.00,23.99,8.46,17.77,10.20,18.19,19.71,16.05,26.00,330.69,330.50,176.00,6.00,596.90,596.75,154.00,2.00,148.76,148.56,119.00,5.00,592.70,592.62,132.00,5.00,30.43,30.12,50.00,4.00,0,휴식 (Relax)
328.00,594.00,151.00,627.00,42.00,52.52,20.24,41.39,16.00,34.05,74.02,64.00,0.00,99.12,15.67,31.38,33.00,34.40,65.97,63.08,11.00,15.70,25.14,32.08,19.72,41.47,44.92,34.99,29.00,15.75,20.29,46.84,45.35,42.17,99.97,55.13,33.00,15.62,22.39,3.77,24.08,8.51,33.69,5.42,40.00,330.19,330.00,184.00,7.00,596.20,596.06,165.00,3.00,148.76,148.56,130.00,6.00,594.82,594.69,187.00,5.00,31.42,31.00,66.00,5.00,0,휴식 (Relax)
