a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a0_ssc,a0_wamp,a1_rms,a1_mav,a1_wl,a1_zc,a1_ssc,a1_wamp,a2_rms,a2_mav,a2_wl,a2_zc,a2_ssc,a2_wamp,a3_rms,a3_mav,a3_wl,a3_zc,a3_ssc,a3_wamp,a4_rms,a4_mav,a4_wl,a4_zc,a4_ssc,a4_wamp,label,action_name
7.00,4.12,-6.12,-0.69,3.94,16.72,13.69,14.94,25.30,13.52,33.05,29.16,32.00,64.18,18.83,36.47,15.56,53.15,45.45,37.48,44.00,18.10,7.01,5.08,12.08,26.77,16.34,6.45,4.00,80.51,36.48,33.01,39.66,37.37,36.48,46.52,77.00,28.83,15.88,6.69,20.22,0.27,20.54,9.81,33.00,5.57,4.38,104.00,7.00,6.00,4.00,10.20,7.91,132.00,4.00,3.00,7.00,3.52,2.45,51.00,6.00,3.00,2.00,11.97,9.02,165.00,3.00,8.00,9.00,4.51,3.80,66.00,8.00,7.00,3.00,0,휴식 (Relax)
-8.50,4.12,-5.81,0.00,-1.69,18.47,15.36,7.89,24.00,19.92,41.04,21.90,40.00,64.18,18.83,36.47,15.56,53.15,45.45,37.48,44.00,22.57,10.46,8.40,16.76,23.80,16.02,8.10,1.00,70.34,42.36,41.39,31.11,41.93,33.31,35.52,88.00,24.27,16.93,9.60,14.32,6.02,22.52,3.83,39.00,5.98,4.69,120.00,8.00,7.00,5.00,10.20,7.91,132.00,4.00,3.00,7.00,3.81,2.57,51.00,6.00,3.00,2.00,11.67,8.25,165.00,2.00,8.00,9.00,4.41,3.73,72.00,9.00,8.00,3.00,0,휴식 (Relax)
-0.50,4.12,-0.81,-9.62,-1.31,18.47,15.36,7.89,24.00,19.92,41.04,21.90,40.00,64.18,18.83,36.47,15.56,53.15,45.45,37.48,44.00,22.57,10.46,8.40,16.76,23.80,16.02,8.10,1.00,48.35,45.58,61.12,22.00,20.50,52.56,56.45,66.00,18.86,15.42,15.28,14.32,6.90,25.06,9.75,33.00,5.98,4.69,128.00,8.00,8.00,5.00,10.20,7.91,132.00,4.00,3.00,7.00,3.81,2.57,56.00,6.00,3.00,2.00,11.59,8.77,176.00,9.00,8.00,10.00,4.28,3.56,72.00,9.00,8.00,3.00,0,휴식 (Relax)
-8.00,-16.50,4.81,12.38,-2.81,26.14,9.02,15.87,25.30,12.41,41.36,21.14,48.00,50.89,27.92,57.24,15.56,39.55,67.41,47.44,22.00,17.11,14.77,14.33,22.56,18.01,22.00,2.30,5.00,48.35,45.58,61.12,22.00,20.50,52.56,56.45,66.00,10.96,10.75,18.18,22.20,1.95,17.39,4.65,41.00,6.32,5.00,136.00,5.00,9.00,5.00,11.00,8.94,154.00,5.00,3.00,8.00,4.00,3.03,62.00,7.00,3.00,2.00,11.59,8.77,198.00,10.00,9.00,11.00,4.17,3.41,74.00,9.00,8.00,3.00,0,휴식 (Relax)
7.50,5.50,4.44,-8.25,-2.31,18.27,17.00,14.43,32.98,8.35,37.08,25.85,56.00,50.89,27.92,57.24,15.56,39.55,67.41,47.44,22.00,14.12,20.71,18.02,22.02,19.47,17.92,8.29,1.00,35.52,26.62,41.93,31.11,41.39,64.27,70.34,44.00,3.43,4.90,15.23,22.56,6.17,24.86,8.13,33.00,6.61,5.62,152.00,9.00,10.00,6.00,11.00,8.94,176.00,6.00,4.00,9.00,4.15,3.40,62.00,7.00,3.00,2.00,11.34,8.94,220.00,11.00,10.00,12.00,4.00,3.14,74.00,9.00,8.00,3.00,0,휴식 (Relax)
7.00,-4.81,4.06,3.44,2.88,12.57,23.58,22.19,35.78,4.41,44.77,18.81,48.00,55.14,22.08,48.00,11.00,37.54,67.78,58.40,11.00,15.61,24.86,16.77,16.03,24.07,18.00,3.44,5.00,37.23,15.67,33.06,24.60,36.19,65.97,66.63,55.00,3.15,2.50,12.35,19.65,5.45,23.62,6.92,36.00,6.86,6.12,152.00,9.00,10.00,6.00,10.98,8.94,187.00,7.00,5.00,10.00,4.26,3.67,62.00,7.00,3.00,2.00,10.80,8.42,231.00,12.00,11.00,13.00,3.79,2.91,79.00,10.00,8.00,3.00,0,휴식 (Relax)
-1.00,-4.12,-1.94,4.12,5.88,12.57,23.58,22.19,35.78,4.41,44.77,18.81,48.00,64.02,12.89,39.01,22.00,27.94,75.11,48.07,22.00,15.61,24.86,16.77,16.03,24.07,18.00,3.44,5.00,45.08,12.41,38.10,15.56,29.17,56.87,66.16,44.00,3.15,2.50,12.35,19.65,5.45,23.62,6.92,36.00,6.86,6.12,152.00,10.00,9.00,6.00,10.91,8.77,176.00,6.00,5.00,9.00,4.26,3.67,68.00,8.00,3.00,2.00,10.20,7.91,187.00,11.00,10.00,12.00,3.79,2.91,67.00,9.00,7.00,2.00,0,휴식 (Relax)
-1.50,6.19,3.69,12.38,-2.56,16.16,20.95,18.95,32.98,4.98,47.42,11.08,40.00,53.25,23.89,37.28,24.60,19.68,86.11,40.98,33.00,21.35,21.41,13.43,22.02,23.78,12.14,7.63,11.00,13.05,35.20,10.64,34.79,15.92,14.58,65.60,0.00,4.27,9.14,11.08,13.00,5.07,17.28,6.74,29.00,6.46,5.69,136.00,9.00,8.00,5.00,10.98,8.94,176.00,7.00,4.00,9.00,4.34,3.85,68.00,8.00,3.00,2.00,7.66,6.02,165.00,10.00,9.00,12.00,3.04,2.58,63.00,9.00,7.00,1.00,0,휴식 (Relax)
21.50,15.12,-1.94,1.38,5.25,31.26,12.32,4.09,48.66,12.46,55.21,25.35,56.00,21.46,52.67,13.91,56.09,29.28,66.97,57.69,0.00,15.44,27.23,10.24,22.56,18.63,7.53,13.62,17.00,13.05,35.20,10.64,34.79,15.92,14.58,65.60,0.00,6.86,11.16,8.60,12.17,2.37,20.18,7.03,32.00,8.35,6.81,144.00,9.00,7.00,5.00,10.91,8.77,176.00,7.00,4.00,9.00,4.26,3.67,68.00,8.00,4.00,2.00,7.66,6.02,165.00,9.00,9.00,12.00,3.27,2.81,66.00,9.00,7.00,1.00,0,휴식 (Relax)
-3.00,13.75,-1.94,0.69,1.94,39.19,8.12,4.34,50.60,10.00,47.31,19.84,48.00,17.42,65.46,9.41,56.09,40.58,62.79,52.93,22.00,15.44,27.23,10.24,22.56,18.63,7.53,13.62,17.00,10.09,34.49,16.00,24.60,14.52,22.47,61.54,11.00,10.96,12.50,4.79,17.12,4.91,18.05,5.36,27.00,7.94,6.38,152.00,9.00,7.00,5.00,11.34,8.94,176.00,7.00,4.00,9.00,4.26,3.67,68.00,8.00,4.00,2.00,7.24,5.16,154.00,8.00,8.00,11.00,3.23,2.82,64.00,8.00,7.00,1.00,0,휴식 (Relax)
-2.50,12.38,-6.62,-9.62,-0.88,32.47,15.36,6.16,58.24,17.75,41.04,19.62,40.00,36.81,68.63,23.75,34.79,22.07,80.13,49.34,0.00,13.34,28.74,9.20,22.00,20.08,11.91,17.61,22.00,16.02,42.36,22.16,22.00,8.71,33.31,55.21,22.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,7.86,6.12,144.00,8.00,6.00,5.00,11.59,8.77,176.00,7.00,4.00,9.00,4.57,3.91,62.00,7.00,3.00,1.00,7.66,6.02,154.00,8.00,7.00,11.00,3.20,2.72,62.00,8.00,6.00,1.00,0,휴식 (Relax)
-10.00,-40.56,15.00,11.00,-2.88,29.16,22.77,13.52,60.93,14.94,42.26,16.72,48.00,4.50,88.82,40.94,55.00,46.42,112.61,49.41,33.00,13.93,31.53,4.08,28.00,26.08,17.60,21.66,28.00,7.93,20.62,9.35,44.00,14.00,49.79,39.87,44.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,8.25,6.50,144.00,7.00,6.00,5.00,15.42,11.60,220.00,7.00,4.00,9.00,5.48,4.38,73.00,7.00,4.00,1.00,7.78,5.50,165.00,4.00,7.00,11.00,3.20,2.72,62.00,8.00,6.00,1.00,0,휴식 (Relax)
13.50,-6.88,8.31,0.00,-0.88,29.55,20.42,14.80,68.35,22.27,38.77,14.28,56.00,9.33,99.82,50.60,49.19,38.89,106.45,51.15,22.00,17.08,42.34,7.24,30.08,24.32,15.40,19.50,17.00,7.93,20.62,9.35,44.00,14.00,49.79,39.87,44.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,8.82,7.12,168.00,8.00,7.00,6.00,15.50,12.03,253.00,7.00,5.00,10.00,5.86,4.90,79.00,7.00,5.00,1.00,7.78,5.50,165.00,4.00,7.00,11.00,3.20,2.72,64.00,8.00,6.00,1.00,0,휴식 (Relax)
-2.00,24.75,-7.38,-11.00,-0.88,32.17,16.67,6.81,65.97,28.22,31.65,13.04,64.00,12.68,86.17,56.19,69.57,53.39,113.59,66.92,0.00,16.68,38.40,6.19,34.79,29.09,19.63,22.21,12.00,7.93,20.62,9.35,44.00,14.00,49.79,39.87,44.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,8.72,6.75,168.00,8.00,7.00,6.00,16.73,13.06,264.00,7.00,4.00,10.00,6.12,5.17,89.00,7.00,4.00,2.00,7.78,5.50,154.00,3.00,6.00,11.00,3.20,2.72,61.00,7.00,5.00,1.00,0,휴식 (Relax)
-2.50,-8.94,3.62,21.31,2.12,26.71,24.00,11.93,58.24,27.46,24.00,13.52,72.00,23.18,89.15,67.18,66.91,44.03,103.37,56.35,11.00,16.68,38.40,6.19,34.79,29.09,19.63,22.21,12.00,12.24,30.50,9.70,45.35,23.94,60.56,50.70,33.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,8.35,6.44,160.00,8.00,7.00,6.00,16.14,12.20,253.00,7.00,4.00,10.00,6.12,5.17,94.00,7.00,5.00,3.00,9.09,6.53,176.00,7.00,7.00,11.00,3.20,2.72,56.00,7.00,4.00,1.00,0,휴식 (Relax)
-2.50,13.75,-2.38,-11.00,-5.88,26.71,24.00,11.93,58.24,27.46,24.00,13.52,72.00,15.53,79.40,64.32,77.78,47.67,93.27,45.40,22.00,16.68,38.40,6.19,34.79,29.09,19.63,22.21,12.00,12.01,20.92,18.01,34.79,26.96,69.90,60.37,22.00,9.28,13.73,3.95,17.03,5.52,19.59,5.28,24.00,8.35,6.44,152.00,7.00,6.00,6.00,15.31,11.69,253.00,8.00,5.00,10.00,6.12,5.17,95.00,8.00,6.00,3.00,9.53,6.88,209.00,5.00,8.00,12.00,3.20,2.72,53.00,7.00,4.00,0.00,0,휴식 (Relax)
13.00,2.75,-2.69,0.00,-0.50,18.81,27.71,4.41,65.97,22.19,27.71,12.57,80.00,15.53,79.40,64.32,77.78,47.67,93.27,45.40,22.00,12.04,33.42,9.84,36.67,24.13,18.79,27.05,7.00,12.01,20.92,18.01,34.79,26.96,69.90,60.37,22.00,15.09,9.05,4.52,17.72,6.84,15.04,3.01,18.00,8.89,7.12,152.00,7.00,5.00,6.00,15.31,11.69,264.00,8.00,6.00,11.00,5.86,4.90,95.00,8.00,6.00,3.00,9.53,6.88,220.00,5.00,9.00,13.00,2.92,2.31,52.00,6.00,5.00,0.00,0,휴식 (Relax)
-11.00,-7.56,2.62,0.00,-0.50,18.81,27.71,4.41,65.97,22.19,27.71,12.57,80.00,21.10,74.63,73.64,66.91,52.34,98.37,39.45,33.00,1.29,25.89,19.85,27.20,28.91,27.89,19.19,18.00,12.01,20.92,18.01,34.79,26.96,69.90,60.37,22.00,15.09,9.05,4.52,17.72,6.84,15.04,3.01,18.00,8.89,7.12,168.00,8.00,5.00,7.00,15.42,12.12,275.00,9.00,6.00,12.00,5.56,4.62,96.00,9.00,6.00,3.00,9.53,6.88,209.00,5.00,8.00,12.00,2.92,2.31,52.00,6.00,5.00,0.00,0,휴식 (Relax)
-3.00,-6.88,6.94,9.62,2.31,18.81,27.71,4.41,65.97,22.19,27.71,12.57,80.00,31.52,79.58,73.06,69.57,59.58,87.76,41.65,22.00,9.76,29.86,23.64,22.56,35.90,17.73,24.11,7.00,10.04,3.49,39.97,46.67,33.25,49.07,63.02,0.00,13.65,7.04,7.51,18.79,9.83,12.98,0.87,21.00,8.89,7.12,168.00,8.00,5.00,7.00,15.50,12.38,253.00,8.00,5.00,11.00,5.77,4.80,95.00,8.00,6.00,3.00,9.43,7.39,198.00,8.00,7.00,12.00,2.97,2.48,53.00,7.00,5.00,0.00,0,휴식 (Relax)
-3.50,13.06,-3.69,-11.00,-2.69,15.83,19.87,12.36,64.50,22.07,27.51,19.73,72.00,4.37,48.38,104.11,39.66,90.91,60.91,51.55,11.00,4.97,24.07,27.46,16.76,41.45,17.05,26.44,1.00,12.88,23.56,36.67,34.79,54.88,29.95,64.73,22.00,13.65,7.04,7.51,18.79,9.83,12.98,0.87,21.00,8.47,6.81,152.00,7.00,5.00,6.00,15.17,11.95,253.00,8.00,4.00,11.00,5.83,4.94,106.00,9.00,7.00,4.00,9.53,6.88,198.00,4.00,7.00,12.00,2.97,2.48,58.00,8.00,6.00,0.00,0,휴식 (Relax)
4.50,2.06,2.31,9.62,-0.81,15.83,19.87,12.36,64.50,22.07,27.51,19.73,72.00,4.37,48.38,104.11,39.66,90.91,60.91,51.55,11.00,4.97,24.07,27.46,16.76,41.45,17.05,26.44,1.00,9.44,14.58,16.28,15.56,63.96,35.20,65.32,44.00,14.50,5.49,6.33,18.03,8.43,11.49,1.63,23.00,8.47,6.81,160.00,8.00,5.00,6.00,15.17,11.95,253.00,7.00,5.00,11.00,5.83,4.94,112.00,10.00,8.00,4.00,9.43,7.39,209.00,9.00,8.00,12.00,2.90,2.39,55.00,7.00,7.00,0.00,0,휴식 (Relax)
4.50,1.38,-8.00,-11.69,-0.62,15.83,19.87,12.36,64.50,22.07,27.51,19.73,72.00,15.15,44.93,99.33,49.19,81.60,68.97,51.05,22.00,12.79,23.36,29.66,27.46,31.75,28.04,25.70,10.00,2.54,7.89,26.15,24.60,58.57,46.00,64.09,55.00,12.30,6.25,9.32,15.23,5.63,11.87,4.27,26.00,8.47,6.81,152.00,7.00,5.00,6.00,15.00,11.34,253.00,7.00,5.00,11.00,6.15,5.25,117.00,10.00,8.00,5.00,9.89,7.82,231.00,10.00,9.00,13.00,2.85,2.23,52.00,7.00,6.00,0.00,0,휴식 (Relax)
-11.00,-9.62,-3.00,-0.69,5.38,9.92,13.69,20.11,72.44,19.07,33.05,25.87,64.00,15.15,44.93,99.33,49.19,81.60,68.97,51.05,22.00,12.79,23.36,29.66,27.46,31.75,28.04,25.70,10.00,2.54,7.89,26.15,24.60,58.57,46.00,64.09,55.00,12.30,6.25,9.32,15.23,5.63,11.87,4.27,26.00,8.89,7.12,168.00,8.00,5.00,7.00,15.00,11.34,253.00,7.00,5.00,11.00,6.15,5.25,116.00,9.00,8.00,5.00,9.89,7.82,231.00,9.00,9.00,13.00,2.85,2.23,50.00,7.00,5.00,0.00,0,휴식 (Relax)
-3.00,1.38,7.69,10.31,-0.75,9.92,13.69,20.11,72.44,19.07,33.05,25.87,64.00,15.15,44.93,99.33,49.19,81.60,68.97,51.05,22.00,8.39,18.45,34.33,32.39,31.05,28.66,28.96,5.00,2.54,7.89,26.15,24.60,58.57,46.00,64.09,55.00,14.30,8.06,10.92,13.42,3.79,9.95,3.75,24.00,8.89,7.12,152.00,7.00,5.00,6.00,15.00,11.34,253.00,8.00,6.00,11.00,6.42,5.60,121.00,9.00,8.00,6.00,9.89,7.82,231.00,9.00,9.00,13.00,2.77,2.16,48.00,7.00,5.00,0.00,0,휴식 (Relax)
6.00,12.38,2.31,9.62,2.44,6.56,10.61,11.19,56.57,16.75,25.60,32.97,48.00,15.15,44.93,99.33,49.19,81.60,68.97,51.05,22.00,7.30,16.04,35.15,33.84,36.77,23.84,23.55,11.00,8.68,16.84,35.03,22.00,67.06,40.65,53.96,66.00,11.53,5.44,8.59,15.00,2.40,8.97,5.60,21.00,7.21,5.75,136.00,7.00,5.00,5.00,15.00,11.34,264.00,8.00,6.00,12.00,6.39,5.56,126.00,9.00,9.00,6.00,10.20,8.59,231.00,9.00,9.00,13.00,2.50,1.90,48.00,8.00,6.00,0.00,0,휴식 (Relax)
-2.00,2.06,-8.38,-11.69,2.44,6.56,10.61,11.19,56.57,16.75,25.60,32.97,48.00,17.75,44.04,89.30,39.66,75.96,77.76,62.03,11.00,6.04,14.15,39.34,38.60,40.08,18.86,18.59,16.00,3.64,16.21,38.14,33.00,76.69,30.78,42.97,77.00,11.53,5.44,8.59,15.00,2.40,8.97,5.60,21.00,7.21,5.75,144.00,8.00,6.00,5.00,14.66,10.83,275.00,8.00,7.00,13.00,6.68,5.88,132.00,10.00,8.00,7.00,10.63,9.11,242.00,10.00,8.00,13.00,2.50,1.90,45.00,7.00,6.00,0.00,0,휴식 (Relax)
-2.00,13.06,-3.69,-1.38,-2.44,6.56,10.61,11.19,56.57,16.75,25.60,32.97,48.00,17.75,44.04,89.30,39.66,75.96,77.76,62.03,11.00,8.76,18.59,35.44,37.48,38.37,16.14,13.81,21.00,7.68,8.42,27.15,34.79,76.63,20.33,32.79,88.00,11.04,6.80,10.59,13.89,4.04,10.94,7.59,19.00,7.21,5.75,136.00,8.00,5.00,5.00,14.66,10.83,231.00,7.00,7.00,13.00,6.39,5.56,115.00,9.00,8.00,6.00,10.20,8.59,231.00,9.00,8.00,13.00,2.57,1.98,48.00,8.00,6.00,0.00,0,휴식 (Relax)
-10.00,-21.31,3.00,-0.69,-5.25,6.56,10.61,11.19,56.57,16.75,25.60,32.97,48.00,6.19,22.08,68.92,24.60,55.41,67.78,48.02,33.00,3.98,9.25,33.56,26.68,27.45,22.33,9.38,32.00,6.04,19.05,32.54,24.60,66.95,19.05,26.72,99.00,12.08,9.79,12.06,16.55,5.16,8.72,5.12,22.00,7.21,5.75,120.00,7.00,4.00,4.00,11.32,9.11,231.00,8.00,8.00,13.00,5.44,4.88,115.00,10.00,8.00,6.00,9.89,7.82,220.00,8.00,8.00,12.00,2.84,2.09,49.00,8.00,6.00,0.00,0,휴식 (Relax)
6.50,-20.62,3.31,-11.00,-0.25,8.72,9.27,19.18,48.66,9.54,28.46,27.29,40.00,9.87,30.36,77.43,15.56,56.88,73.28,47.84,44.00,7.41,10.66,28.98,26.02,30.32,17.33,8.34,27.00,16.81,28.74,28.80,31.11,76.03,11.91,29.18,88.00,12.08,9.79,12.06,16.55,5.16,8.72,5.12,22.00,6.46,5.06,120.00,7.00,5.00,4.00,12.22,9.97,198.00,7.00,7.00,12.00,5.11,4.56,99.00,9.00,7.00,5.00,10.29,8.25,220.00,6.00,7.00,12.00,2.84,2.09,54.00,8.00,7.00,0.00,0,휴식 (Relax)
-9.00,-7.56,2.62,-0.69,-4.94,13.83,8.66,23.21,48.00,11.10,20.91,34.57,48.00,42.72,48.98,76.37,24.60,24.88,41.41,43.45,11.00,8.78,2.87,37.88,15.03,26.88,12.80,11.58,16.00,6.88,26.56,39.61,24.60,75.00,4.56,31.41,77.00,16.90,10.75,7.17,12.21,7.58,12.90,7.03,27.00,6.86,5.38,136.00,8.00,6.00,5.00,10.80,9.37,176.00,6.00,6.00,12.00,4.75,4.20,88.00,8.00,6.00,4.00,9.89,7.82,198.00,7.00,7.00,12.00,3.11,2.34,56.00,6.00,7.00,0.00,0,휴식 (Relax)
6.50,-17.88,2.62,0.69,0.25,11.80,13.86,27.91,40.00,9.28,13.86,42.56,56.00,53.19,51.59,67.42,31.11,33.48,51.59,46.39,22.00,8.78,2.87,37.88,15.03,26.88,12.80,11.58,16.00,25.82,19.05,33.73,11.00,55.09,19.05,38.11,55.00,19.87,10.10,7.44,10.77,9.06,10.10,4.47,24.00,7.05,5.88,152.00,9.00,7.00,6.00,11.59,10.14,165.00,5.00,6.00,12.00,4.75,4.20,82.00,7.00,6.00,4.00,8.22,6.45,165.00,9.00,6.00,11.00,3.01,2.22,53.00,6.00,7.00,0.00,0,휴식 (Relax)
