a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a0_ssc,a0_wamp,a1_rms,a1_mav,a1_wl,a1_zc,a1_ssc,a1_wamp,a2_rms,a2_mav,a2_wl,a2_zc,a2_ssc,a2_wamp,a3_rms,a3_mav,a3_wl,a3_zc,a3_ssc,a3_wamp,a4_rms,a4_mav,a4_wl,a4_zc,a4_ssc,a4_wamp,label,action_name
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
-7.50,-10.31,0.00,-41.25,-14.06,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,1.94,0.94,8.00,1.00,0.00,0.00,2.66,1.29,11.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.65,5.16,44.00,1.00,0.00,1.00,3.63,1.76,15.00,1.00,0.00,1.00,0,휴식 (Relax)
8.00,-19.94,5.62,-7.56,-1.88,3.12,6.12,8.89,11.31,13.30,14.78,15.69,16.00,32.44,30.78,28.11,24.60,20.49,16.21,12.56,11.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,54.33,52.36,49.27,45.35,41.07,37.05,34.10,33.00,17.81,17.25,16.38,15.30,14.13,13.05,12.28,12.00,2.83,1.00,24.00,1.00,1.00,1.00,5.79,3.61,22.00,1.00,0.00,2.00,1.45,0.70,6.00,1.00,0.00,0.00,10.80,6.02,77.00,1.00,1.00,2.00,3.66,1.97,27.00,1.00,1.00,2.00,0,휴식 (Relax)
-7.50,-8.25,-0.38,-17.19,-6.38,6.78,3.31,1.88,8.00,14.12,19.31,22.78,24.00,42.33,37.56,30.42,22.00,13.58,6.44,1.67,0.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,72.47,59.73,41.57,24.60,24.83,38.91,50.68,55.00,24.40,19.89,13.46,7.62,8.69,14.16,18.44,20.00,3.43,1.88,40.00,3.00,2.00,2.00,6.15,4.47,33.00,1.00,1.00,3.00,1.45,0.70,12.00,2.00,1.00,0.00,11.65,7.82,88.00,1.00,2.00,3.00,4.00,2.64,32.00,1.00,2.00,2.00,0,휴식 (Relax)
8.00,-7.56,-0.38,-5.50,-1.19,5.77,8.66,6.80,0.00,10.18,20.91,29.00,32.00,50.70,39.13,23.94,11.00,9.70,12.75,12.24,11.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,79.76,57.85,31.12,22.00,35.71,44.47,45.20,44.00,26.38,19.36,10.61,7.00,11.68,15.46,16.83,17.00,4.00,2.00,56.00,3.00,3.00,3.00,6.41,5.16,33.00,1.00,1.00,3.00,1.45,0.70,12.00,2.00,1.00,0.00,11.67,8.25,99.00,1.00,3.00,4.00,3.99,2.72,37.00,1.00,3.00,2.00,0,휴식 (Relax)
0.00,-6.88,9.94,-15.12,-5.69,5.77,8.66,6.80,0.00,10.18,20.91,29.00,32.00,57.20,35.20,12.98,15.56,19.96,14.58,5.76,0.00,14.41,7.98,5.92,12.53,16.70,15.82,10.32,5.00,90.34,43.53,22.50,44.00,36.56,22.92,50.78,66.00,30.21,14.10,7.75,15.00,11.66,7.94,19.36,25.00,4.00,2.00,64.00,3.00,4.00,3.00,6.59,5.67,33.00,1.00,1.00,3.00,2.95,1.86,23.00,3.00,1.00,1.00,12.22,9.45,110.00,1.00,4.00,5.00,4.22,3.18,42.00,1.00,4.00,2.00,0,휴식 (Relax)
7.50,4.12,-1.06,-3.44,-3.31,13.70,13.86,4.45,8.00,8.78,13.86,31.55,40.00,57.20,35.20,12.98,15.56,19.96,14.58,5.76,0.00,14.41,7.98,5.92,12.53,16.70,15.82,10.32,5.00,93.36,33.00,32.99,45.35,25.58,33.00,51.08,55.00,32.11,8.46,13.60,16.16,5.67,13.80,19.49,19.00,4.44,2.81,72.00,5.00,5.00,3.00,6.59,5.67,44.00,2.00,1.00,4.00,2.95,1.86,34.00,4.00,2.00,2.00,12.12,9.45,121.00,1.00,5.00,6.00,4.27,3.36,44.00,1.00,5.00,2.00,0,휴식 (Relax)
7.00,4.12,-1.06,-13.06,-2.94,21.46,17.13,6.50,11.31,1.29,21.78,32.12,32.00,57.20,35.20,12.98,15.56,19.96,14.58,5.76,0.00,14.41,7.98,5.92,12.53,16.70,15.82,10.32,5.00,94.67,16.21,49.42,24.60,40.47,30.78,44.29,77.00,32.77,3.41,17.55,10.82,10.00,11.42,17.03,25.00,4.80,3.50,72.00,5.00,5.00,3.00,6.59,5.67,44.00,2.00,1.00,4.00,2.95,1.86,34.00,4.00,2.00,2.00,12.43,10.05,132.00,1.00,6.00,7.00,4.28,3.46,44.00,5.00,5.00,2.00,0,휴식 (Relax)
-8.50,-16.50,4.56,8.94,0.25,15.46,19.87,11.25,17.89,6.74,27.51,37.16,24.00,51.23,29.95,33.94,15.56,41.86,23.56,16.73,22.00,15.59,2.51,0.09,11.00,22.09,19.49,6.41,1.00,94.67,16.21,49.42,24.60,40.47,30.78,44.29,77.00,32.34,4.88,16.84,9.49,10.82,10.01,19.01,22.00,5.27,3.75,88.00,6.00,5.00,4.00,7.78,6.88,66.00,3.00,1.00,5.00,3.16,2.34,40.00,5.00,2.00,2.00,12.43,10.05,154.00,2.00,7.00,8.00,4.21,3.34,47.00,6.00,5.00,2.00,0,휴식 (Relax)
-0.50,26.12,-1.44,-1.38,-7.06,15.46,19.87,11.25,17.89,6.74,27.51,37.16,24.00,64.18,18.83,36.47,15.56,53.15,45.45,37.48,44.00,15.59,2.51,0.09,11.00,22.09,19.49,6.41,1.00,88.84,26.39,38.76,34.79,29.72,41.51,36.58,88.00,28.83,15.88,6.69,20.22,0.27,20.54,9.81,33.00,5.27,3.75,96.00,6.00,6.00,4.00,10.20,7.91,110.00,4.00,2.00,6.00,3.16,2.34,46.00,6.00,3.00,2.00,12.22,9.62,165.00,3.00,8.00,9.00,4.51,3.80,55.00,7.00,6.00,2.00,0,휴식 (Relax)
