a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a0_ssc,a0_wamp,a1_rms,a1_mav,a1_wl,a1_zc,a1_ssc,a1_wamp,a2_rms,a2_mav,a2_wl,a2_zc,a2_ssc,a2_wamp,a3_rms,a3_mav,a3_wl,a3_zc,a3_ssc,a3_wamp,a4_rms,a4_mav,a4_wl,a4_zc,a4_ssc,a4_wamp,label,action_name
13.44,66.56,8.44,58.44,5.88,67.97,28.58,30.45,31.83,34.50,18.48,21.61,15.00,166.69,86.02,50.42,78.92,53.71,70.28,72.82,83.00,78.46,10.21,22.25,26.93,20.94,15.68,3.16,15.00,126.40,17.23,87.59,25.08,70.31,68.42,64.52,93.00,23.53,9.19,14.30,8.60,11.13,13.55,6.78,4.00,8.61,7.44,98.00,4.00,3.00,3.00,21.75,16.80,123.00,1.00,3.00,8.00,8.05,7.38,60.00,2.00,2.00,3.00,18.26,11.95,143.00,3.00,2.00,6.00,3.16,2.91,28.00,3.00,3.00,0.00,0,휴식 (Relax)
42.94,92.31,13.12,85.44,8.19,106.53,13.44,69.62,66.13,34.24,22.30,32.17,55.00,235.87,138.96,139.46,112.81,113.54,77.60,66.09,33.00,81.33,12.25,27.22,31.62,20.03,12.25,6.62,10.00,206.68,82.92,155.94,89.02,120.04,70.81,59.45,3.00,28.64,14.30,12.14,9.22,20.56,9.25,4.67,7.00,13.97,9.94,130.00,4.00,3.00,4.00,31.98,23.36,156.00,1.00,3.00,9.00,8.45,7.73,65.00,2.00,2.00,3.00,28.61,18.41,176.00,3.00,2.00,7.00,3.76,3.41,31.00,3.00,3.00,0.00,0,휴식 (Relax)
32.94,85.06,12.81,79.44,7.50,138.14,38.48,90.05,62.65,7.71,18.69,29.68,23.00,305.80,191.40,184.92,96.15,79.41,41.11,53.57,83.00,85.65,17.20,29.87,30.41,15.69,12.42,5.11,15.00,280.58,160.77,171.73,112.81,63.30,25.19,44.03,93.00,33.29,18.78,7.30,18.97,15.09,6.87,8.15,4.00,16.33,11.94,138.00,4.00,4.00,4.00,38.31,28.91,156.00,3.00,3.00,9.00,8.83,8.09,65.00,2.00,2.00,3.00,35.10,26.09,176.00,3.00,2.00,7.00,4.17,3.75,31.00,3.00,3.00,0.00,0,휴식 (Relax)
30.94,46.88,22.81,73.44,-0.69,166.52,59.77,84.93,31.32,25.87,13.34,21.32,55.00,347.75,207.13,165.64,43.10,3.69,50.59,52.74,0.00,101.55,31.38,25.52,14.87,30.36,24.84,14.10,1.00,344.27,214.71,129.64,73.68,50.03,80.59,74.27,3.00,34.02,18.79,5.02,18.25,12.77,8.05,5.15,1.00,18.18,14.34,138.00,3.00,4.00,4.00,39.38,32.17,189.00,3.00,3.00,10.00,10.42,9.21,76.00,2.00,2.00,4.00,39.66,32.59,176.00,1.00,2.00,7.00,4.07,3.56,39.00,4.00,3.00,0.00,0,휴식 (Relax)
58.94,52.00,32.12,67.44,-3.69,215.11,94.53,36.97,62.65,63.32,54.83,66.22,9.00,381.49,191.93,86.95,51.09,93.47,51.07,45.96,94.00,127.65,49.36,10.81,34.93,38.46,9.13,18.72,26.00,395.03,236.15,43.85,25.08,118.56,50.86,22.41,93.00,34.02,18.79,5.02,18.25,12.77,8.05,5.15,1.00,23.71,19.20,170.00,3.00,4.00,5.00,40.54,35.25,200.00,1.00,4.00,11.00,13.20,11.11,87.00,2.00,2.00,5.00,42.92,38.02,176.00,1.00,2.00,7.00,4.07,3.56,42.00,4.00,3.00,0.00,0,휴식 (Relax)
47.44,46.12,30.44,51.12,-5.56,249.93,115.13,19.04,102.08,45.27,33.91,10.98,47.00,401.24,148.97,32.17,109.59,101.10,50.87,66.95,0.00,150.39,60.20,20.29,52.01,14.48,18.82,8.71,1.00,425.76,221.38,46.20,78.45,81.38,36.83,67.84,8.00,35.02,20.79,5.59,18.03,12.86,6.47,6.71,3.00,26.65,22.65,178.00,1.00,5.00,5.00,40.84,37.34,200.00,1.00,4.00,11.00,15.31,13.01,87.00,2.00,2.00,5.00,44.30,41.09,187.00,1.00,2.00,8.00,4.21,3.69,44.00,4.00,3.00,0.00,0,휴식 (Relax)
59.88,40.25,34.38,66.44,-0.75,284.54,125.54,81.78,87.86,29.19,44.76,81.04,26.00,406.13,86.88,126.17,106.10,19.03,50.67,27.79,94.00,172.60,64.03,39.23,41.01,30.23,27.14,26.62,32.00,446.42,165.45,141.79,112.61,45.65,95.29,42.79,115.00,32.64,18.61,7.89,21.02,10.36,7.04,8.77,6.00,30.73,27.28,188.00,1.00,6.00,6.00,40.29,37.97,190.00,1.00,4.00,10.00,17.67,15.33,83.00,1.00,2.00,4.00,46.69,44.38,199.00,1.00,3.00,8.00,4.12,3.50,49.00,4.00,4.00,0.00,0,휴식 (Relax)
38.94,45.31,26.06,48.81,-3.75,304.46,119.99,111.51,29.21,65.49,59.09,39.07,37.00,395.97,38.90,184.72,43.05,81.13,52.08,73.48,1.00,190.66,59.97,49.72,4.12,49.19,11.37,12.00,5.00,450.60,87.88,188.92,89.54,130.47,44.94,63.38,9.00,32.64,18.61,7.89,21.02,10.36,7.04,8.77,6.00,31.91,29.20,197.00,1.00,7.00,7.00,40.41,38.44,201.00,1.00,4.00,11.00,18.78,16.68,89.00,1.00,3.00,4.00,46.57,44.69,200.00,1.00,4.00,8.00,4.12,3.50,52.00,4.00,5.00,0.00,0,휴식 (Relax)
34.50,39.38,18.12,51.88,-3.75,314.63,98.23,105.36,57.78,48.45,12.15,74.91,34.00,371.26,88.73,181.95,52.04,109.00,51.22,26.33,94.00,199.27,49.92,44.15,30.27,27.03,20.68,19.01,26.00,438.76,51.39,176.62,53.01,106.07,85.76,70.75,136.00,32.64,18.61,7.89,21.02,10.36,7.04,8.77,6.00,32.08,29.62,197.00,1.00,7.00,7.00,39.64,37.42,191.00,1.00,3.00,10.00,19.15,17.25,90.00,1.00,3.00,4.00,45.24,43.23,211.00,1.00,5.00,9.00,4.12,3.50,52.00,4.00,5.00,0.00,0,휴식 (Relax)
46.00,22.50,21.50,33.62,-7.50,314.98,73.66,63.28,123.00,39.85,78.30,74.14,54.00,333.39,150.50,119.30,109.18,40.24,50.11,68.01,0.00,202.19,34.01,23.64,54.92,31.35,27.48,25.84,16.00,414.46,136.90,110.25,95.26,9.93,96.69,45.87,20.00,36.21,14.62,11.85,21.21,14.26,9.29,8.55,10.00,32.89,29.88,207.00,1.00,6.00,8.00,36.30,33.62,192.00,1.00,3.00,10.00,19.39,17.44,96.00,1.00,4.00,4.00,41.79,39.28,192.00,1.00,6.00,9.00,4.44,3.75,51.00,3.00,5.00,0.00,0,휴식 (Relax)
