a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a1_rms,a1_mav,a1_wl,a1_zc,a2_rms,a2_mav,a2_wl,a2_zc,a3_rms,a3_mav,a3_wl,a3_zc,a4_rms,a4_mav,a4_wl,a4_zc,label,action_name
1.00,4.12,-2.88,9.62,3.75,57.35,27.31,56.30,50.60,29.18,4.69,19.23,16.00,20.39,78.27,130.05,79.32,3.44,25.50,9.08,22.00,19.95,23.84,34.59,31.11,33.21,10.76,15.97,22.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,8.28,8.55,14.66,13.04,5.26,7.68,11.35,2.00,9.33,8.00,120.00,5.00,15.50,12.03,198.00,4.00,6.15,5.20,88.00,6.00,10.91,7.39,143.00,3.00,2.41,1.78,31.00,2.00,0,휴식 (Relax)
8.00,-16.50,13.06,-1.38,-4.06,52.64,40.25,44.19,48.00,43.80,13.11,3.74,32.00,12.40,70.41,127.60,98.39,25.38,29.16,18.56,0.00,13.73,25.56,25.98,44.78,41.74,14.17,2.45,39.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,10.11,5.55,14.36,16.03,3.25,7.69,14.32,1.00,9.38,8.00,128.00,2.00,16.04,13.06,220.00,5.00,6.98,6.17,105.00,7.00,10.91,7.39,154.00,4.00,2.61,1.95,39.00,3.00,0,휴식 (Relax)
22.00,36.44,-8.62,-1.38,3.62,45.13,58.04,18.01,80.00,32.78,21.72,34.24,0.00,34.95,99.89,98.38,116.93,49.14,61.78,51.56,33.00,15.61,27.63,22.24,42.54,46.52,15.50,7.08,44.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,5.83,9.91,9.92,16.49,7.59,6.46,18.81,6.00,10.77,9.25,144.00,5.00,18.54,14.87,275.00,6.00,7.25,6.41,127.00,8.00,10.91,7.39,154.00,4.00,2.76,2.12,47.00,4.00,0,휴식 (Relax)
-2.50,3.44,2.00,8.94,6.12,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,34.95,99.89,98.38,116.93,49.14,61.78,51.56,33.00,11.37,21.92,27.90,37.12,47.52,14.55,13.03,50.00,15.14,39.13,70.49,45.35,44.99,12.75,44.42,77.00,3.18,15.04,5.57,24.33,6.50,13.03,14.30,2.00,10.48,8.81,168.00,6.00,18.54,14.87,308.00,6.00,7.21,6.38,138.00,9.00,11.15,8.08,165.00,5.00,3.16,2.39,50.00,4.00,0,휴식 (Relax)
-10.50,13.75,-4.00,8.25,0.00,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,45.20,104.52,101.44,110.00,38.75,63.87,59.90,44.00,11.37,21.92,27.90,37.12,47.52,14.55,13.03,50.00,19.63,35.20,80.10,34.79,46.15,14.58,51.81,66.00,4.51,15.45,7.43,24.08,4.52,11.20,14.42,0.00,10.48,8.81,176.00,6.00,18.85,15.47,319.00,6.00,7.21,6.38,144.00,10.00,11.34,8.59,165.00,5.00,3.12,2.25,56.00,3.00,0,휴식 (Relax)
-10.50,-17.88,-8.69,-23.38,-2.00,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,32.03,113.04,79.49,128.28,28.27,56.52,73.54,66.00,16.31,24.08,32.41,32.76,51.84,19.54,10.57,45.00,24.72,55.08,64.91,46.67,67.94,36.36,64.12,44.00,4.51,15.45,7.43,24.08,4.52,11.20,14.42,0.00,10.48,8.81,176.00,6.00,19.40,16.50,352.00,7.00,7.48,6.65,149.00,10.00,12.83,9.80,198.00,6.00,3.12,2.25,58.00,3.00,0,휴식 (Relax)
-3.00,-26.81,6.62,-22.00,-4.81,35.88,52.59,16.05,88.36,17.27,7.10,26.77,0.00,46.10,144.92,71.06,114.84,17.78,85.51,67.89,33.00,6.44,28.77,25.64,39.60,51.80,28.57,15.81,34.00,45.45,75.58,78.41,34.79,60.41,24.07,60.20,66.00,5.10,18.36,9.18,24.02,2.80,10.25,16.43,3.00,10.15,8.38,176.00,6.00,20.57,17.79,352.00,6.00,7.61,6.88,154.00,10.00,14.02,11.00,198.00,3.00,3.32,2.48,59.00,4.00,0,휴식 (Relax)
12.00,-4.81,1.94,10.31,3.00,19.92,53.30,12.03,91.21,27.81,22.08,35.29,16.00,46.10,144.92,71.06,114.84,17.78,85.51,67.89,33.00,9.66,23.85,22.85,43.28,47.46,30.42,20.60,29.00,34.61,71.26,68.33,45.35,69.90,31.17,65.20,77.00,3.35,15.90,6.48,27.02,0.56,7.95,19.25,6.00,10.58,9.00,184.00,7.00,20.57,17.79,352.00,6.00,7.44,6.56,148.00,9.00,14.27,11.69,209.00,7.00,3.41,2.62,65.00,4.00,0,휴식 (Relax)
-4.50,24.75,-4.06,18.56,5.50,13.41,60.11,20.03,83.52,30.52,18.84,28.13,8.00,8.94,142.82,48.36,112.18,72.38,81.90,44.97,88.00,9.66,23.85,22.85,43.28,47.46,30.42,20.60,29.00,24.35,98.75,83.16,55.00,45.53,13.02,39.38,33.00,6.43,16.90,11.01,28.46,8.38,15.95,11.29,2.00,10.19,8.50,184.00,7.00,20.39,17.88,363.00,7.00,7.44,6.56,143.00,9.00,13.87,11.26,176.00,6.00,3.66,3.00,66.00,7.00,0,휴식 (Relax)
-11.50,2.06,-8.06,-12.38,-0.50,24.58,44.89,20.19,89.44,46.49,30.48,12.44,8.00,19.72,151.84,58.87,101.41,69.56,72.52,49.39,77.00,19.76,25.98,23.97,32.76,53.57,17.53,35.35,13.00,16.66,65.91,51.41,83.77,74.96,44.14,33.76,0.00,6.43,16.90,11.01,28.46,8.38,15.95,11.29,2.00,10.57,8.94,184.00,7.00,20.29,17.45,352.00,6.00,7.51,6.57,143.00,9.00,13.40,11.00,198.00,7.00,3.66,3.00,72.00,8.00,0,휴식 (Relax)
-10.00,-17.19,-2.69,-11.00,-2.38,43.55,41.36,44.19,68.82,44.65,9.02,36.41,16.00,28.75,109.04,46.95,118.98,109.12,30.61,88.37,33.00,23.96,31.71,29.97,27.80,47.64,23.51,30.96,19.00,32.23,55.08,55.12,94.63,62.09,36.36,41.81,22.00,6.00,15.05,11.50,29.15,9.83,16.05,12.61,0.00,10.39,8.50,176.00,7.00,19.82,17.19,374.00,7.00,7.51,6.48,137.00,8.00,13.47,11.00,198.00,4.00,3.71,3.09,68.00,7.00,0,휴식 (Relax)
13.50,6.19,2.62,21.31,0.00,38.79,35.31,41.88,73.76,52.51,12.69,43.82,24.00,50.74,100.18,68.56,101.41,95.54,42.69,66.40,55.00,21.29,22.77,27.87,22.80,46.35,32.58,28.94,30.00,26.73,51.39,44.12,103.77,69.62,44.24,51.54,33.00,9.79,14.03,17.50,23.71,5.37,11.96,11.71,6.00,10.85,9.12,176.00,7.00,18.64,15.81,363.00,7.00,7.27,6.30,143.00,9.00,14.27,11.77,198.00,7.00,3.41,2.62,62.00,3.00,0,휴식 (Relax)
11.50,15.81,1.94,8.25,-0.12,46.09,3.31,70.69,53.67,44.57,19.31,29.61,8.00,31.87,92.33,60.10,116.93,109.48,48.63,47.56,77.00,27.45,24.96,38.27,12.53,36.43,31.29,26.74,19.00,43.28,28.74,42.99,124.45,41.71,11.91,18.61,0.00,7.86,12.64,16.76,24.70,6.78,10.02,12.78,8.00,10.19,9.06,160.00,7.00,19.04,16.41,352.00,7.00,6.96,5.94,121.00,8.00,13.19,11.00,187.00,7.00,3.37,2.55,59.00,6.00,0,휴식 (Relax)
3.00,13.06,-7.69,-2.75,5.19,52.93,6.12,76.26,46.65,37.01,14.78,27.64,0.00,40.67,58.74,99.21,93.98,70.39,74.19,79.36,33.00,11.31,8.95,29.93,19.42,23.55,49.90,27.31,3.00,43.28,28.74,42.99,124.45,41.71,11.91,18.61,0.00,3.31,1.83,26.09,16.40,6.02,20.26,6.64,3.00,10.15,9.00,152.00,6.00,17.91,14.95,341.00,7.00,6.42,5.52,126.00,9.00,13.19,11.00,198.00,8.00,3.38,2.77,60.00,7.00,0,휴식 (Relax)
-26.50,-30.25,-2.00,-33.69,-5.50,13.90,34.42,98.05,43.08,30.45,47.66,36.02,40.00,30.70,69.66,92.02,104.36,73.50,85.13,86.32,22.00,9.61,6.53,40.10,16.00,16.47,39.77,28.92,8.00,11.24,60.56,41.93,149.62,8.82,30.50,48.93,33.00,1.76,6.78,22.66,20.59,10.53,23.20,6.66,8.00,11.91,9.81,176.00,7.00,18.85,15.81,352.00,7.00,6.07,5.00,120.00,8.00,15.78,13.06,220.00,7.00,3.66,3.00,71.00,8.00,0,휴식 (Relax)
5.50,-6.88,3.62,10.31,-0.50,13.90,34.42,98.05,43.08,30.45,47.66,36.02,40.00,9.19,87.93,104.56,99.61,51.51,73.05,81.59,44.00,11.21,9.57,36.38,22.00,10.49,38.22,33.24,14.00,11.24,60.56,41.93,149.62,8.82,30.50,48.93,33.00,1.76,6.78,22.66,20.59,10.53,23.20,6.66,8.00,11.91,9.81,200.00,7.00,18.60,15.64,363.00,7.00,6.12,5.17,126.00,9.00,15.78,13.06,264.00,8.00,3.66,3.00,73.00,7.00,0,휴식 (Relax)
12.50,14.44,-7.06,10.31,2.50,29.44,36.96,98.93,51.22,30.07,45.72,38.70,24.00,20.19,85.67,94.12,110.55,47.86,77.27,85.55,55.00,7.78,4.58,33.93,22.56,10.30,41.24,38.03,19.00,11.24,60.56,41.93,149.62,8.82,30.50,48.93,33.00,1.76,6.78,22.66,20.59,10.53,23.20,6.66,8.00,12.32,10.50,200.00,6.00,18.94,16.24,363.00,7.00,6.36,5.45,120.00,9.00,15.78,13.06,253.00,7.00,3.66,3.00,68.00,7.00,0,휴식 (Relax)
12.00,12.38,9.31,-0.69,-2.69,36.48,44.42,106.69,45.25,22.19,40.14,33.63,32.00,52.23,108.67,98.01,112.18,28.58,47.19,65.37,22.00,4.63,4.70,27.94,28.44,4.54,35.27,32.08,13.00,11.24,60.56,41.93,149.62,8.82,30.50,48.93,33.00,2.43,9.26,22.01,19.31,8.51,20.20,5.00,11.00,12.65,11.00,184.00,6.00,18.60,15.47,308.00,6.00,5.60,5.02,114.00,9.00,15.78,13.06,264.00,8.00,3.44,2.86,65.00,7.00,0,휴식 (Relax)
-10.00,-17.19,3.62,-11.00,-0.50,27.99,20.91,91.55,71.55,26.86,8.66,18.82,64.00,28.80,54.24,43.69,166.46,27.44,14.28,42.81,33.00,13.66,6.32,33.13,32.25,8.25,27.64,23.32,2.00,19.02,49.79,31.92,158.64,15.26,20.62,47.53,44.00,0.85,6.44,19.51,22.14,10.44,18.40,3.70,14.00,11.83,10.25,184.00,6.00,16.94,15.04,308.00,7.00,5.41,4.88,108.00,8.00,16.04,13.75,264.00,5.00,3.39,2.69,64.00,7.00,0,휴식 (Relax)
-9.50,-36.44,3.62,-9.62,-4.81,33.51,25.08,97.62,68.35,19.84,16.34,21.76,56.00,67.12,47.51,39.77,177.71,47.06,29.81,69.04,11.00,13.66,6.32,33.13,32.25,8.25,27.64,23.32,2.00,40.89,42.36,40.55,147.58,29.30,33.31,59.74,22.00,11.40,10.59,11.67,21.38,4.49,19.44,13.18,3.00,12.07,10.69,176.00,6.00,19.34,17.19,319.00,7.00,5.41,4.88,102.00,7.00,15.98,13.92,264.00,7.00,3.32,2.48,63.00,5.00,0,휴식 (Relax)
13.00,18.56,3.25,22.69,0.19,13.25,2.54,77.36,91.21,34.02,35.69,43.57,32.00,67.12,47.51,39.77,177.71,47.06,29.81,69.04,11.00,19.19,8.50,27.20,29.73,8.07,32.68,24.05,4.00,30.64,36.48,30.13,157.50,38.67,36.48,69.90,11.00,11.40,10.59,11.67,21.38,4.49,19.44,13.18,3.00,12.29,11.00,200.00,7.00,19.34,17.19,341.00,7.00,5.44,4.91,97.00,7.00,16.71,14.52,264.00,7.00,3.32,2.48,66.00,6.00,0,휴식 (Relax)
11.50,26.81,2.56,9.62,2.88,14.52,21.68,86.53,88.00,18.91,34.55,19.82,56.00,34.20,14.28,49.57,198.31,69.85,54.24,26.28,33.00,28.38,13.54,27.02,19.72,17.81,22.24,19.58,7.00,25.59,12.41,44.38,146.76,52.79,56.87,36.93,44.00,8.94,8.77,7.02,22.85,5.05,24.15,9.24,8.00,12.32,10.94,192.00,7.00,20.20,17.79,341.00,7.00,5.10,4.45,81.00,6.00,15.98,13.75,275.00,7.00,3.37,2.55,66.00,7.00,0,휴식 (Relax)
