a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,label,action_name
288.00,510.00,156.00,500.00,16.00,30.67,45.38,60.50,51.22,6.21,49.20,14.97,72.00,143.90,77.42,203.45,141.45,52.09,92.53,62.45,106.00,16.41,23.42,33.42,59.03,49.65,17.48,10.25,5.00,198.47,149.79,304.57,245.10,35.33,104.61,78.41,115.00,34.98,24.31,40.63,37.44,10.24,11.88,19.91,26.00,1,주먹 쥐기 (Fist)
304.00,530.00,145.00,520.00,16.00,46.25,61.34,71.69,40.00,21.38,35.06,14.13,56.00,194.09,114.82,231.43,111.49,3.53,68.25,51.95,53.00,20.18,19.37,29.33,61.40,47.48,20.71,9.69,0.00,228.17,173.98,317.62,243.00,63.85,87.40,49.91,84.00,42.45,29.04,42.45,44.29,18.13,12.03,12.15,18.00,1,주먹 쥐기 (Fist)
320.00,551.00,140.00,583.00,42.00,38.46,56.32,74.60,46.65,26.52,34.36,21.09,48.00,202.00,117.01,226.61,120.70,6.50,62.85,46.24,63.00,26.79,9.45,33.39,53.01,41.09,10.71,9.74,10.00,196.06,172.12,346.85,200.00,80.45,109.46,41.13,41.00,33.28,32.69,53.81,39.62,27.84,25.44,9.24,4.00,1,주먹 쥐기 (Fist)
312.00,605.00,151.00,616.00,26.00,45.12,55.61,66.60,51.22,24.86,40.55,29.09,40.00,191.70,129.40,248.53,114.34,24.93,42.15,31.80,85.00,26.79,9.45,33.39,53.01,41.09,10.71,9.74,10.00,196.06,172.12,346.85,200.00,80.45,109.46,41.13,41.00,39.31,18.10,42.02,24.04,29.08,39.76,24.07,12.00,1,주먹 쥐기 (Fist)
352.00,561.00,186.00,627.00,28.00,36.47,81.71,83.43,32.98,11.91,72.30,60.00,8.00,201.79,75.03,237.59,61.47,63.57,21.50,36.90,140.00,45.88,37.87,53.50,83.93,48.90,36.88,34.02,45.00,196.06,172.12,346.85,200.00,80.45,109.46,41.13,41.00,40.56,13.25,44.51,23.09,32.91,37.98,19.16,7.00,1,주먹 쥐기 (Fist)
336.00,583.00,105.00,470.00,36.00,46.64,97.14,77.79,48.66,23.20,63.28,47.36,24.00,202.88,84.42,227.89,66.37,64.45,32.50,43.98,151.00,40.39,19.54,71.10,78.10,83.47,69.73,65.13,80.00,180.72,132.78,432.56,219.32,104.31,147.00,132.01,50.00,42.54,20.06,34.71,13.15,41.85,43.54,12.26,3.00,1,주먹 쥐기 (Fist)
266.00,490.00,192.00,551.00,16.00,18.87,83.41,131.54,66.48,73.50,94.12,55.39,78.00,180.57,89.92,278.13,122.80,34.73,86.82,88.17,212.00,41.89,38.45,29.15,26.31,109.59,106.08,109.62,132.00,184.44,126.60,425.58,209.33,114.74,146.84,142.34,61.00,35.90,21.59,38.53,19.10,43.34,55.50,16.25,15.00,1,주먹 쥐기 (Fist)
328.00,572.00,151.00,594.00,22.00,19.17,77.67,128.13,60.96,75.44,102.09,62.52,86.00,168.86,110.88,275.82,130.61,54.51,78.39,75.84,190.00,46.47,44.52,36.94,30.02,114.62,104.63,102.24,121.00,177.00,137.35,420.42,204.85,116.19,139.47,150.72,72.00,25.77,37.94,30.46,14.56,57.75,44.01,7.55,2.00,1,주먹 쥐기 (Fist)
378.00,594.00,231.00,744.00,16.00,78.97,11.77,180.26,118.93,133.15,77.60,4.65,20.00,152.24,130.54,255.08,111.14,42.72,70.13,80.77,212.00,103.61,93.05,119.67,113.00,31.21,81.73,152.00,207.00,276.11,75.67,526.12,305.39,63.49,34.85,221.81,178.00,18.84,58.57,8.23,9.85,42.85,45.90,24.69,21.00,1,주먹 쥐기 (Fist)
405.00,627.00,96.00,510.00,33.00,147.25,60.05,239.18,156.29,99.04,56.96,67.00,89.00,162.56,127.09,262.68,117.07,51.31,60.98,81.17,223.00,79.11,93.63,119.08,132.08,65.48,70.15,184.02,262.00,171.07,83.93,502.38,348.21,60.13,76.36,290.75,284.00,19.21,57.78,9.87,10.82,44.11,45.07,26.68,23.00,1,주먹 쥐기 (Fist)
273.00,520.00,168.00,627.00,33.00,114.51,38.03,245.18,186.23,132.63,50.18,104.65,128.00,121.62,113.02,281.20,152.51,88.60,21.33,79.84,264.00,78.62,66.06,86.74,105.55,93.43,57.60,197.97,295.00,248.97,121.02,428.90,278.37,97.33,156.54,338.72,371.00,22.53,59.87,10.36,15.23,39.37,49.76,22.34,18.00,1,주먹 쥐기 (Fist)
312.00,561.00,130.00,520.00,20.00,114.51,38.03,245.18,186.23,132.63,50.18,104.65,128.00,121.62,113.02,281.20,152.51,88.60,21.33,79.84,264.00,78.62,66.06,86.74,105.55,93.43,57.60,197.97,295.00,227.72,90.02,455.45,258.80,94.16,173.90,349.23,402.00,11.38,47.68,21.82,23.60,40.87,61.74,18.34,5.00,1,주먹 쥐기 (Fist)
312.00,540.00,156.00,583.00,31.00,113.80,45.87,249.46,179.81,130.24,42.38,109.21,136.00,95.11,60.74,299.19,106.67,47.10,65.99,68.67,318.00,75.96,62.93,89.46,109.34,88.71,52.65,196.69,300.00,217.11,65.64,451.51,217.08,145.61,188.32,353.80,347.00,5.04,40.38,27.74,29.07,32.93,58.85,16.87,13.00,1,주먹 쥐기 (Fist)
320.00,520.00,224.00,627.00,11.00,120.06,59.72,240.81,170.58,146.14,56.69,106.48,120.00,142.59,89.24,243.92,87.92,142.64,48.82,129.77,222.00,46.17,98.82,156.65,84.02,143.56,107.96,243.50,232.00,217.11,65.64,451.51,217.08,145.61,188.32,353.80,347.00,18.27,39.32,31.01,22.20,48.08,52.50,31.96,9.00,1,주먹 쥐기 (Fist)
387.00,638.00,125.00,572.00,28.00,84.77,68.89,299.26,125.32,181.86,96.08,135.88,61.00,74.15,15.83,320.79,29.61,183.12,125.68,206.23,145.00,54.42,78.95,152.41,104.02,143.31,116.90,262.60,212.00,197.63,33.99,474.44,195.85,163.34,159.48,328.37,379.00,13.57,34.35,35.01,28.16,47.04,48.02,37.92,15.00,1,주먹 쥐기 (Fist)
320.00,561.00,115.00,530.00,64.00,84.77,68.89,299.26,125.32,181.86,96.08,135.88,61.00,64.62,18.41,324.28,39.46,187.54,119.11,196.69,155.00,76.59,66.70,174.30,106.51,166.17,125.30,237.75,237.00,215.43,52.84,482.15,179.81,183.62,154.67,308.30,400.00,30.69,4.93,66.63,45.61,79.27,81.02,11.23,18.00,1,주먹 쥐기 (Fist)
211.00,540.00,145.00,572.00,26.00,158.53,44.52,363.03,93.26,258.86,152.44,59.23,138.00,34.73,48.06,303.30,53.08,157.68,119.90,220.38,125.00,87.59,71.99,182.79,95.80,158.65,115.02,247.42,226.00,144.48,69.49,410.15,234.39,206.74,205.06,236.63,472.00,40.69,13.35,69.18,40.25,74.46,74.36,14.37,8.00,1,주먹 쥐기 (Fist)
352.00,605.00,162.00,627.00,26.00,111.67,14.49,325.96,141.17,280.80,199.48,17.36,186.00,47.91,116.14,234.15,50.91,192.82,175.06,191.38,200.00,72.14,55.50,188.16,101.24,166.76,99.63,258.60,209.00,43.87,176.48,382.66,194.74,286.40,99.77,334.38,365.00,50.14,22.72,62.01,31.62,68.17,73.97,15.01,18.00,1,주먹 쥐기 (Fist)
378.00,616.00,180.00,594.00,20.00,74.45,54.13,349.68,149.94,318.27,172.86,63.45,128.00,112.90,158.73,246.91,46.23,231.55,112.12,191.36,135.00,55.51,28.16,228.15,66.40,127.34,118.21,247.75,249.00,39.43,184.36,392.24,183.85,277.28,105.73,326.35,376.00,36.01,22.53,83.02,26.31,47.03,61.00,34.40,40.00,1,주먹 쥐기 (Fist)
304.00,540.00,135.00,520.00,20.00,75.14,50.52,341.72,157.49,325.70,176.51,69.91,120.00,58.98,165.62,182.09,105.08,293.21,101.03,188.04,70.00,53.44,25.23,222.18,77.10,125.21,116.97,251.34,265.00,99.99,204.91,322.75,195.00,311.90,130.41,300.81,472.00,35.98,28.33,84.02,20.40,47.72,66.76,28.42,34.00,1,주먹 쥐기 (Fist)
320.00,572.00,125.00,638.00,68.00,73.91,69.25,334.15,170.56,326.62,146.15,58.71,152.00,63.36,155.95,187.42,102.59,294.60,110.03,185.39,59.00,64.72,49.67,270.29,56.57,75.72,166.10,219.85,204.00,92.63,194.54,317.95,205.30,322.82,129.32,303.98,483.00,39.85,21.95,119.25,48.33,25.78,103.43,20.15,6.00,1,주먹 쥐기 (Fist)
296.00,616.00,156.00,649.00,39.00,76.21,109.22,368.16,137.00,288.85,183.27,61.17,112.00,74.23,124.48,169.60,135.20,323.39,77.98,206.00,92.00,69.47,56.76,229.64,107.30,32.70,215.68,185.84,153.00,175.80,81.92,139.33,315.04,324.29,288.62,232.70,304.00,40.68,24.95,121.42,47.17,28.59,102.13,17.35,3.00,1,주먹 쥐기 (Fist)
336.00,627.00,140.00,572.00,24.00,106.93,79.49,315.44,187.86,246.48,222.61,93.19,42.00,166.07,140.26,35.85,204.89,234.88,187.24,100.62,45.00,44.95,10.24,218.92,115.69,73.74,247.98,143.96,101.00,196.63,98.28,134.73,302.63,303.41,270.19,242.89,325.00,40.84,31.00,118.83,39.81,23.93,99.66,25.35,11.00,1,주먹 쥐기 (Fist)
336.00,594.00,120.00,540.00,39.00,114.34,84.99,318.60,183.33,241.81,223.17,89.91,50.00,181.36,162.05,43.67,191.23,221.67,179.59,118.71,23.00,43.11,21.86,189.53,144.84,56.14,250.83,173.47,132.00,145.34,46.13,92.59,348.41,281.31,261.19,288.19,379.00,39.77,37.68,101.92,49.52,18.58,114.81,11.58,6.00,1,주먹 쥐기 (Fist)
266.00,423.00,281.00,594.00,2.00,3.38,27.02,206.66,283.59,134.62,317.25,144.35,162.00,191.96,108.19,128.74,344.70,65.30,300.41,288.85,148.00,68.86,41.59,226.32,166.97,98.13,292.69,223.23,182.00,110.24,138.74,69.68,303.80,196.61,197.74,140.79,229.00,45.22,42.26,109.36,40.50,9.06,128.05,16.32,20.00,1,주먹 쥐기 (Fist)
432.00,627.00,110.00,530.00,24.00,28.37,20.13,217.47,294.29,137.43,343.02,170.47,189.00,191.96,108.19,128.74,344.70,65.30,300.41,288.85,148.00,82.40,54.99,222.95,178.72,88.54,279.16,210.91,168.00,96.68,121.29,56.27,323.75,176.68,182.53,120.97,209.00,52.76,50.95,104.83,48.30,18.03,124.20,8.61,11.00,1,주먹 쥐기 (Fist)
336.00,551.00,151.00,561.00,48.00,88.91,81.89,182.84,352.09,76.50,318.05,108.68,126.00,162.15,80.67,150.81,374.16,34.31,285.25,266.35,117.00,65.67,48.64,239.69,188.22,97.55,271.15,200.80,151.00,157.68,151.04,59.35,334.77,157.16,116.63,72.66,143.00,37.95,38.92,119.77,43.57,28.07,130.45,7.69,4.00,1,주먹 쥐기 (Fist)
259.00,572.00,140.00,572.00,24.00,51.64,53.03,235.79,374.63,56.56,345.17,73.36,73.00,151.20,78.96,160.68,371.01,39.67,281.97,270.62,128.00,74.18,44.15,234.53,180.24,107.29,274.48,198.96,141.00,106.00,165.07,96.76,284.93,204.38,91.28,82.53,91.00,34.04,38.97,121.04,47.52,29.21,126.64,5.76,0.00,1,주먹 쥐기 (Fist)
344.00,572.00,174.00,616.00,36.00,62.55,44.10,226.72,346.95,87.19,376.70,77.30,41.00,123.85,102.49,162.23,340.33,62.53,310.41,271.70,96.00,86.40,28.64,245.90,191.85,105.68,258.22,195.61,159.00,79.25,196.34,125.07,296.79,183.00,80.45,60.03,124.00,30.11,42.86,117.37,48.51,24.22,131.11,6.94,5.00,1,주먹 쥐기 (Fist)
304.00,594.00,135.00,616.00,39.00,61.24,56.05,213.83,338.88,97.45,389.83,88.73,25.00,104.65,175.98,105.85,369.12,42.07,241.71,246.04,170.00,94.50,117.51,163.81,139.46,190.88,176.30,168.62,248.00,84.51,186.69,126.37,286.78,188.89,71.92,51.43,135.00,30.60,70.69,92.48,22.47,44.10,124.89,27.33,23.00,1,주먹 쥐기 (Fist)
288.00,551.00,125.00,540.00,24.00,136.85,154.60,137.21,256.97,164.68,383.73,31.32,124.00,101.92,137.49,191.11,295.41,128.65,226.99,208.86,257.00,94.50,117.51,163.81,139.46,190.88,176.30,168.62,248.00,95.14,180.80,157.69,301.68,157.64,103.89,82.26,103.00,27.62,68.18,91.97,24.84,43.77,127.41,31.29,27.00,1,주먹 쥐기 (Fist)
369.00,638.00,140.00,649.00,51.00,87.88,127.36,121.70,228.62,206.83,421.85,60.62,173.00,126.91,113.76,187.97,257.39,170.35,287.38,173.24,334.00,70.13,120.79,140.07,132.00,205.44,165.98,188.11,223.00,143.98,139.89,136.15,208.06,182.20,204.36,200.48,16.00,16.29,71.05,79.59,17.09,56.14,114.47,21.00,14.00,1,주먹 쥐기 (Fist)
312.00,616.00,140.00,649.00,42.00,35.80,187.65,35.14,150.57,237.17,322.21,81.14,72.00,196.04,80.43,262.56,189.34,211.90,213.52,229.00,258.00,75.09,116.56,143.49,127.12,210.26,161.45,192.97,218.00,218.36,103.67,212.61,269.78,106.75,187.98,136.16,61.00,31.95,57.27,91.00,32.56,67.22,102.57,21.60,2.00,1,주먹 쥐기 (Fist)
328.00,616.00,125.00,540.00,26.00,21.69,163.77,59.07,132.97,261.01,309.35,104.56,48.00,207.03,72.59,268.52,195.26,201.58,219.09,218.32,269.00,108.83,80.77,133.01,124.33,209.09,196.67,156.54,255.00,133.71,182.13,188.26,236.25,128.71,256.20,125.30,148.00,31.95,57.27,91.00,32.56,67.22,102.57,21.60,2.00,1,주먹 쥐기 (Fist)
296.00,540.00,125.00,551.00,51.00,71.59,129.22,115.62,93.06,251.04,299.58,29.09,130.00,142.17,148.55,317.04,138.84,213.32,214.70,143.58,345.00,154.00,74.02,80.58,179.23,158.20,176.79,204.60,200.00,104.26,221.54,227.59,278.29,87.15,214.55,106.60,105.00,59.77,47.29,60.13,6.08,36.37,126.36,51.75,33.00,1,주먹 쥐기 (Fist)
266.00,540.00,145.00,530.00,22.00,104.54,154.54,117.62,130.75,215.79,327.17,55.94,92.00,142.17,148.55,317.04,138.84,213.32,214.70,143.58,345.00,147.90,65.64,87.97,180.01,150.88,182.27,211.47,190.00,106.89,217.70,220.76,276.52,86.96,209.84,100.72,95.00,61.29,48.69,59.19,8.06,37.40,124.39,49.81,31.00,1,주먹 쥐기 (Fist)
361.00,661.00,120.00,616.00,51.00,82.04,113.58,153.07,132.77,188.33,368.08,87.64,51.00,175.85,171.53,329.57,109.04,192.04,303.26,205.20,256.00,149.15,70.57,89.61,175.03,152.80,187.19,213.38,185.00,110.86,209.84,212.28,254.83,107.87,217.70,83.33,73.00,55.48,31.69,49.88,17.89,30.99,115.48,37.64,14.00,1,주먹 쥐기 (Fist)
296.00,583.00,145.00,572.00,24.00,82.04,113.58,153.07,132.77,188.33,368.08,87.64,51.00,170.88,139.91,296.82,76.06,222.66,329.16,224.05,223.00,148.20,77.57,100.60,176.57,141.80,178.28,213.54,196.00,169.88,145.37,135.40,253.16,84.70,148.65,157.97,150.00,60.08,23.64,34.91,28.02,45.67,112.03,43.93,29.00,1,주먹 쥐기 (Fist)
288.00,500.00,151.00,551.00,28.00,77.16,120.89,174.67,150.08,140.86,374.05,88.24,99.00,244.24,62.50,258.19,150.59,165.24,334.78,225.29,350.00,153.23,78.78,96.63,165.74,138.15,177.06,218.39,207.00,190.69,124.44,127.43,273.99,64.78,169.19,137.53,129.00,57.20,22.12,36.37,30.48,47.92,108.80,44.90,33.00,1,주먹 쥐기 (Fist)
296.00,551.00,135.00,561.00,28.00,80.11,110.31,214.01,185.81,154.57,341.71,70.30,59.00,285.27,98.31,297.11,176.24,130.24,298.96,200.73,307.00,165.25,91.52,108.45,169.10,126.98,167.73,207.13,192.00,170.51,138.86,112.29,277.31,52.52,181.71,121.32,108.00,67.47,32.28,44.62,23.32,43.24,97.93,45.11,44.00,1,주먹 쥐기 (Fist)
344.00,605.00,140.00,605.00,45.00,115.37,177.57,210.50,228.71,119.90,264.47,68.48,19.00,106.41,94.76,209.26,333.92,88.19,122.79,124.51,125.00,41.56,58.39,75.57,50.09,56.13,35.10,89.35,51.00,162.18,139.61,102.02,288.11,46.12,183.13,126.35,119.00,24.66,20.24,23.43,25.94,2.85,80.77,54.03,87.00,1,주먹 쥐기 (Fist)
304.00,605.00,145.00,583.00,33.00,46.78,75.42,92.27,158.66,26.98,215.95,155.87,147.00,124.06,75.42,190.76,326.73,108.43,116.32,121.89,103.00,72.33,28.14,43.63,24.17,91.09,0.14,61.96,16.00,147.38,114.08,114.67,283.00,98.89,143.58,130.96,66.00,17.61,29.23,32.31,23.19,11.73,75.98,52.65,78.00,1,주먹 쥐기 (Fist)
304.00,572.00,130.00,510.00,24.00,58.30,89.53,67.61,189.71,54.36,197.95,136.58,115.00,113.66,82.64,208.68,306.74,111.10,128.96,114.88,82.00,51.34,35.11,45.10,44.15,100.37,21.00,43.87,5.00,142.06,161.09,63.97,334.00,125.11,92.71,167.92,15.00,34.43,20.75,28.93,47.10,31.15,53.27,64.43,54.00,1,주먹 쥐기 (Fist)
296.00,530.00,140.00,572.00,39.00,60.86,53.34,61.78,185.07,84.18,162.40,135.56,78.00,123.01,103.57,218.09,322.49,80.52,170.87,95.58,40.00,51.34,35.11,45.10,44.15,100.37,21.00,43.87,5.00,142.06,161.09,63.97,334.00,125.11,92.71,167.92,15.00,27.59,12.39,14.16,50.33,35.26,39.81,77.97,39.00,1,주먹 쥐기 (Fist)
312.00,672.00,88.00,572.00,57.00,44.79,82.72,90.87,153.08,87.14,134.73,153.54,46.00,158.34,8.61,118.56,414.97,30.20,254.26,84.09,60.00,63.53,61.55,50.47,44.15,25.84,88.66,43.00,91.00,118.11,180.27,102.70,290.00,81.23,98.95,211.59,29.00,37.09,13.37,16.81,70.34,51.23,49.41,56.97,60.00,1,주먹 쥐기 (Fist)
259.00,572.00,130.00,616.00,54.00,40.71,110.42,125.74,158.14,125.54,150.38,115.86,91.00,139.40,30.12,130.98,408.13,51.03,262.02,89.00,82.00,68.39,63.83,54.23,45.54,22.90,86.17,38.17,86.00,118.11,180.27,102.70,290.00,81.23,98.95,211.59,29.00,51.09,21.94,31.04,68.07,39.96,53.19,71.12,45.00,1,주먹 쥐기 (Fist)
281.00,616.00,120.00,616.00,42.00,41.87,111.00,124.75,164.92,120.43,152.50,122.60,84.00,203.68,45.54,172.19,346.36,88.18,245.11,107.80,147.00,73.33,62.65,52.98,40.85,27.85,84.89,42.20,91.00,191.14,247.85,149.90,214.00,53.69,39.16,174.35,47.00,69.04,30.32,38.27,50.09,36.09,37.19,58.43,63.00,1,주먹 쥐기 (Fist)
352.00,583.00,174.00,551.00,16.00,42.89,101.30,108.51,161.64,115.24,137.43,105.75,101.00,151.39,20.24,125.00,368.59,93.33,204.00,130.76,202.00,47.75,92.91,86.62,62.01,49.36,58.74,67.11,125.00,96.11,161.33,79.03,234.96,64.00,117.51,205.25,145.00,40.60,46.59,63.70,59.36,14.71,7.81,59.04,98.00,1,주먹 쥐기 (Fist)
312.00,561.00,125.00,530.00,31.00,42.89,101.30,108.51,161.64,115.24,137.43,105.75,101.00,117.78,75.12,148.53,320.98,137.74,258.98,129.25,147.00,53.45,79.33,80.43,72.18,48.92,43.80,76.84,140.00,80.99,183.67,181.77,135.77,142.68,54.81,128.48,26.00,38.39,57.57,72.85,50.45,24.84,9.16,52.52,87.00,1,주먹 쥐기 (Fist)
296.00,520.00,156.00,530.00,24.00,38.57,75.66,126.10,169.19,102.38,124.97,90.32,133.00,145.05,159.38,243.06,281.46,86.99,201.00,111.10,243.00,58.18,93.50,61.07,55.97,26.78,27.78,93.15,171.00,89.72,193.35,188.52,128.82,135.31,46.43,135.68,36.00,39.09,58.91,72.57,49.20,23.61,9.36,54.15,89.00,1,주먹 쥐기 (Fist)
336.00,540.00,204.00,583.00,14.00,58.72,86.51,88.67,132.00,136.08,148.38,100.20,173.00,145.05,159.38,243.06,281.46,86.99,201.00,111.10,243.00,127.81,112.60,19.14,133.22,105.76,65.28,102.11,92.00,57.92,166.67,203.61,107.42,149.98,15.58,166.11,68.00,70.09,68.40,38.15,81.71,31.89,29.62,19.58,52.00,1,주먹 쥐기 (Fist)
352.00,470.00,273.00,561.00,3.00,142.96,103.88,126.00,185.15,89.00,62.60,67.66,87.00,214.48,152.07,191.99,307.83,148.77,265.32,95.05,313.00,255.62,154.93,141.15,196.82,132.44,115.82,78.48,220.00,28.96,164.92,234.22,84.29,119.61,38.79,135.34,37.00,89.08,66.29,25.77,90.43,41.55,24.34,38.33,71.00,1,주먹 쥐기 (Fist)
432.00,684.00,130.00,616.00,39.00,212.31,117.17,193.41,237.41,50.54,126.06,108.49,158.00,192.53,167.20,214.03,328.26,151.20,286.34,91.57,336.00,264.74,155.14,144.32,190.26,123.07,106.17,76.57,210.00,28.96,164.92,234.22,84.29,119.61,38.79,135.34,37.00,100.34,58.71,34.90,80.60,30.57,17.05,26.99,59.00,1,주먹 쥐기 (Fist)
320.00,605.00,125.00,594.00,42.00,232.88,112.79,198.13,223.99,73.57,117.18,85.52,134.00,176.49,189.19,217.71,338.61,170.09,278.85,102.55,314.00,251.34,169.17,159.56,206.01,124.23,97.98,84.05,190.00,31.53,186.90,216.96,100.26,138.77,36.56,123.27,15.00,87.70,76.49,22.33,92.66,36.92,6.86,19.26,41.00,1,주먹 쥐기 (Fist)
259.00,470.00,162.00,520.00,20.00,216.21,136.17,221.91,249.18,93.61,133.52,56.60,105.00,189.74,169.01,242.89,364.97,194.43,293.78,128.96,284.00,254.94,158.18,150.09,212.71,134.91,103.29,92.85,179.00,21.43,167.25,244.89,122.15,163.63,32.28,123.61,16.00,90.50,70.28,18.50,98.35,44.78,7.93,23.21,33.00,1,주먹 쥐기 (Fist)
320.00,561.00,130.00,540.00,28.00,221.44,112.86,202.66,261.31,89.60,157.43,37.06,81.00,188.63,168.19,234.94,360.47,192.84,303.55,138.95,274.00,255.18,161.62,149.38,208.83,137.90,108.16,97.74,174.00,28.99,172.03,245.20,136.52,168.83,45.47,114.45,5.00,90.50,70.28,18.50,98.35,44.78,7.93,23.21,33.00,1,주먹 쥐기 (Fist)
320.00,520.00,204.00,627.00,33.00,225.57,126.53,197.33,241.45,67.62,176.39,35.69,57.00,181.90,238.23,227.47,286.50,112.79,377.79,220.68,189.00,234.46,174.73,211.78,175.16,119.59,165.87,161.05,110.00,29.81,153.04,265.18,152.50,190.76,67.41,100.51,27.00,86.69,78.68,16.91,89.94,35.64,7.68,35.17,21.00,1,주먹 쥐기 (Fist)
344.00,649.00,125.00,572.00,22.00,204.99,136.42,236.47,220.49,45.05,187.27,68.24,17.00,197.01,196.52,267.09,312.93,85.03,394.44,257.94,145.00,246.24,156.46,201.52,193.71,101.06,175.17,178.80,90.00,23.11,163.79,257.35,145.60,195.94,75.16,91.47,38.00,80.51,89.67,27.81,82.07,46.07,12.92,24.96,32.00,1,주먹 쥐기 (Fist)
336.00,638.00,105.00,638.00,80.00,182.15,166.46,255.47,192.61,27.77,202.04,36.27,49.00,250.44,179.50,317.99,265.96,67.10,421.38,223.37,211.00,268.28,133.16,218.12,186.27,120.46,182.98,163.29,115.00,146.41,142.32,238.58,88.81,154.61,151.56,45.20,166.00,129.88,66.11,49.19,56.14,76.29,68.80,43.78,88.00,1,주먹 쥐기 (Fist)
252.00,551.00,130.00,520.00,26.00,222.71,128.74,278.93,173.62,18.60,245.06,15.57,93.00,271.21,193.68,313.91,250.38,85.47,401.31,225.13,190.00,278.25,129.77,227.45,176.57,123.04,173.82,165.74,105.00,97.74,100.31,285.12,140.51,109.84,172.74,87.38,218.00,116.88,58.44,39.71,69.12,74.14,78.30,56.76,101.00,1,주먹 쥐기 (Fist)
328.00,594.00,135.00,594.00,42.00,206.72,132.27,263.41,188.81,24.51,258.48,30.60,109.00,196.63,115.68,390.26,204.42,152.57,333.99,218.30,112.00,234.08,116.05,230.81,171.03,169.90,130.91,166.96,58.00,113.66,122.31,269.57,140.36,91.59,169.23,103.73,240.00,103.29,44.02,48.36,69.87,88.53,78.35,43.01,86.00,1,주먹 쥐기 (Fist)
304.00,551.00,198.00,605.00,20.00,166.87,117.37,260.93,180.40,60.19,252.19,15.41,64.00,181.72,101.83,402.10,186.08,153.85,338.78,225.46,133.00,191.48,76.19,297.55,103.04,152.48,164.24,193.83,126.00,108.96,114.90,265.26,129.39,95.06,160.89,109.61,251.00,85.11,20.38,81.10,36.69,73.05,56.33,69.98,120.00,1,주먹 쥐기 (Fist)
344.00,605.00,110.00,490.00,20.00,139.05,75.80,320.63,117.61,48.39,215.19,47.68,127.00,178.18,103.94,396.39,191.93,143.26,344.43,217.83,122.00,193.26,85.15,292.35,103.82,161.58,163.74,202.14,136.00,166.26,177.29,139.27,187.45,31.00,286.79,148.40,125.00,87.70,36.64,87.83,36.69,57.40,77.65,58.48,98.00,1,주먹 쥐기 (Fist)
296.00,530.00,120.00,551.00,76.00,142.99,129.87,288.49,125.00,104.34,161.94,102.00,183.00,190.61,151.86,344.00,237.92,181.20,293.11,266.93,175.00,190.64,137.10,327.66,50.70,128.15,206.10,149.37,82.00,166.26,177.29,139.27,187.45,31.00,286.79,148.40,125.00,70.98,26.80,135.88,27.31,16.11,132.11,83.65,38.00,1,주먹 쥐기 (Fist)
231.00,616.00,120.00,594.00,39.00,155.35,202.38,343.30,56.85,106.98,238.18,54.37,102.00,157.49,104.27,360.52,267.00,174.66,246.60,321.88,230.00,189.22,139.86,332.30,49.65,125.12,201.21,154.32,87.00,102.52,144.46,105.36,237.99,89.45,295.69,84.42,189.00,69.19,34.32,142.17,31.40,8.19,128.76,76.29,46.00,1,주먹 쥐기 (Fist)
312.00,480.00,245.00,551.00,4.00,155.74,196.36,328.91,69.97,122.98,246.30,60.93,86.00,190.57,116.78,390.20,236.33,139.29,243.24,358.61,270.00,254.10,179.13,342.81,40.79,44.26,169.84,235.39,176.00,84.79,154.37,84.44,250.00,78.98,277.86,104.36,168.00,81.63,30.74,148.49,48.85,16.93,137.45,56.30,66.00,1,주먹 쥐기 (Fist)
414.00,638.00,151.00,605.00,24.00,203.27,240.02,343.25,73.24,119.75,274.42,46.13,164.00,94.59,173.16,306.52,184.11,83.27,320.00,433.96,368.00,202.89,126.43,290.46,72.95,80.00,206.70,277.10,229.00,75.65,175.84,76.63,232.77,65.64,299.42,88.32,190.00,72.56,23.56,138.49,45.89,25.13,147.11,47.05,76.00,1,주먹 쥐기 (Fist)
378.00,572.00,204.00,638.00,26.00,227.79,265.99,369.14,54.04,93.93,249.53,46.20,138.00,12.52,274.93,344.67,94.92,55.02,221.47,389.48,266.00,134.42,83.37,260.26,124.91,47.52,138.03,246.50,160.00,112.87,243.90,146.21,192.39,142.33,264.32,135.28,113.00,49.63,2.92,131.25,68.59,35.58,127.85,64.94,53.00,1,주먹 쥐기 (Fist)
328.00,572.00,125.00,520.00,24.00,124.30,201.85,334.04,149.91,99.09,164.21,137.84,34.00,101.15,216.75,234.12,86.27,94.95,197.81,411.28,154.00,130.16,85.46,264.01,122.54,42.77,141.17,246.27,165.00,38.86,226.71,111.47,109.79,195.91,317.19,200.82,17.00,64.14,17.40,119.46,68.26,49.75,126.34,74.64,38.00,1,주먹 쥐기 (Fist)
